Protocol,Data Size [byte],Mean Time [sec],Max Time [sec],Min Time [sec]
light_stream,32,6.458999999999997e-08,5.28e-07,2.3e-08
light_stream,1024,6.997000000000004e-08,4.44e-07,3.2e-08
light_stream,32768,6.690400000000003e-07,8.66e-07,6.19e-07
light_stream,1048576,3.2423619999999994e-05,3.5077e-05,3.1759e-05
blocking_stream,32,6.750300000000001e-07,1.175e-06,6.32e-07
blocking_stream,1024,6.927099999999997e-07,8.41e-07,6.67e-07
blocking_stream,32768,1.3942499999999998e-06,1.883e-06,1.257e-06
blocking_stream,1048576,3.217863e-05,5.2952e-05,3.1197e-05
UDPv4,32,1.9118e-06,3.336e-06,1.846e-06
UDPv4,1024,1.938770000000001e-06,3.183e-06,1.858e-06
UDPv4,32768,4.8304900000000024e-06,5.473e-06,4.34e-06
UDPv6,32,1.969619999999999e-06,2.188e-06,1.919e-06
UDPv6,1024,2.0088200000000007e-06,2.078e-06,1.962e-06
UDPv6,32768,4.66033e-06,5.339e-06,4.159e-06
